epoch,trainingLoss,testLoss,epochs,lr,training_r2,testing_r2,training_rmse,testing_rmse,W0,W1,W2,W3,W4,W5,W6,W7,W8
0,1390.104505060677,1101.4621206600166,2000,0.1,-4.489077995215628,-2.5484728320196237,37.28410526029392,33.18828288206572,3.45382440101431,1.7242259539161582,1.11966264942285,1.287806978070545,2.0429332197304886,1.4991828485880385,2.25190385089212,2.0061017153851157,0.539517289891324
1,974.4578850859591,822.9578158888336,2000,0.1,-2.847822458539708,-1.6512427407216412,31.2163079989604,28.68724134330162,6.143599085716112,2.9968125663859264,1.6850056258414619,2.003571160833747,3.269327813269836,2.1010393920554176,3.5496091026020453,3.1536844445844623,0.9625408440043133
2,709.4746053805013,642.7655966354191,2000,0.1,-1.8014882552937381,-1.0707350840634895,26.635964510047337,25.352822261740783,8.28917488967656,4.047396821196638,2.1470192469259115,2.563030688036379,4.235313074626546,2.599171803930079,4.570731229577768,4.05662047162218,1.3178840370616534
3,540.370484669784,525.6302154299538,2000,0.1,-1.13375017911725,-0.6933714779262312,23.245870271293008,22.926626778267092,10.000628134473969,4.920630064151709,2.5265481692459555,2.9980112766000735,4.993571357596409,3.0145046866805645,5.371313445998886,4.764480916186117,1.6191710677403321
4,432.284122147489,449.0174248188043,2000,0.1,-0.7069517104092213,-0.4465555403014587,20.791443483978906,21.19003126044896,11.365767789778745,5.652133296644019,2.840220980158252,3.3338976078808864,5.586128321081905,3.363729515021617,5.996061382624654,5.316808359828597,1.8772706155090293
5,363.0317569492448,398.50818214767,2000,0.1,-0.43349627411472036,-0.2838348511169704,19.053392268812523,19.962669714937178,12.454639968146013,6.2703239151733765,3.1013030639842296,3.590936335500001,6.0465086789700235,3.660160970807776,6.4806365861112765,5.745145542890455,2.10085325212402
6,318.496904188171,364.8636602076825,2000,0.1,-0.25764238728747957,-0.17544558396832333,17.84648156327098,19.101404665827133,13.323121198642433,6.797872917171652,3.3203769407059656,3.785275505155705,6.401455860185954,3.9144200484698515,6.85348606281867,6.074653673084498,2.296836093585777
7,289.69660150696564,342.1543008740041,2000,0.1,-0.14391920523358515,-0.10228506113541624,17.020475948309013,18.497413356304826,14.015784811641105,7.2528673266726145,3.5058849780284573,3.9297937080508367,6.672303796203398,4.134978973850424,7.137301721381916,6.325403363829969,2.4707375028560423
8,270.914547929697,326.5666328135476,2000,0.1,-0.06975488404721064,-0.052067794840388704,16.459482006724787,18.07115471721571,14.568187478246479,7.649737471355309,3.6645623175102844,4.034761503054191,6.876071207682565,4.328595890421089,7.350184582396623,6.513404426571848,2.6269600393044676
9,258.51314766413674,315.64191194773105,2000,0.1,-0.020785721613932218,-0.016872689659178652,16.078344058519733,17.766313966260167,15.008693202162599,7.999996679535974,3.8017822235261507,4.108369038219611,7.026334526313116,4.500661612009886,7.506573478333614,6.651427344716442,2.7690161699632787
10,250.1775674563482,307.78997357424436,2000,0.1,0.012128818069492175,0.008423132570562819,15.817002480127144,17.543944071224246,15.35992833346257,8.312831342963163,3.9218315711798337,4.1571469384082045,7.133924232085752,4.655476230242256,7.6179858853173235,6.7496585702317295,2.899708321390862
